Chargeback Raise Date,Case Number,Acquirer Reference Data - RRN,Primary Account Number,Transaction Date,Transaction Amount,Chargeback Reason code,Chargeback Reason code description,Chargeback Amount,Target Date,PGI REF NO#
30-May-24,NPCI33493002155,30962010002155,652850-XXX-XXX-3613,30-May-24,8621,1065,1065-Goods or Services Not Provided / Not Received,5576,30-May-24,XUR31083000155
31-May-24,NPCI33493002156,30962010002156,652850-XXX-XXX-0738,31-May-24,7269,1066,1066-Goods or Services Not Provided / Not Received,5124,31-May-24,XUR31083000156
01-Jun-24,NPCI33493002157,30962010002157,652850-XXX-XXX-2901,01-Jun-24,6862,1075,1075-Goods or Services Not Provided / Not Received,5728,01-Jun-24,XUR31083000157
02-Jun-24,NPCI33493002158,30962010002158,652850-XXX-XXX-6667,02-Jun-24,6257,1066,1066-Goods or Services Not Provided / Not Received,5728,02-Jun-24,XUR31083000158
03-Jun-24,NPCI33493002159,30962010002159,652850-XXX-XXX-1431,03-Jun-24,9261,1073,1073-Goods or Services Not Provided / Not Received,5538,03-Jun-24,XUR31083000159
04-Jun-24,NPCI33493002160,30962010002160,652850-XXX-XXX-5642,04-Jun-24,9206,1066,1066-Goods or Services Not Provided / Not Received,5602,04-Jun-24,XUR31083000160
05-Jun-24,NPCI33493002161,30962010002161,652850-XXX-XXX-6231,05-Jun-24,8375,1067,1067-Goods or Services Not Provided / Not Received,5409,05-Jun-24,XUR31083000161
06-Jun-24,NPCI33493002162,30962010002162,652850-XXX-XXX-5777,06-Jun-24,6381,1066,1066-Goods or Services Not Provided / Not Received,5244,06-Jun-24,XUR31083000162
07-Jun-24,NPCI33493002163,30962010002163,652850-XXX-XXX-9893,07-Jun-24,7342,1072,1072-Goods or Services Not Provided / Not Received,5261,07-Jun-24,XUR31083000163
08-Jun-24,NPCI33493002164,30962010002164,652850-XXX-XXX-5812,08-Jun-24,6579,1070,1070-Goods or Services Not Provided / Not Received,5726,08-Jun-24,XUR31083000164
09-Jun-24,NPCI33493002165,30962010002165,652850-XXX-XXX-0489,09-Jun-24,5794,1069,1069-Goods or Services Not Provided / Not Received,4994,09-Jun-24,XUR31083000165
10-Jun-24,NPCI33493002166,30962010002166,652850-XXX-XXX-0009,10-Jun-24,9142,1065,1065-Goods or Services Not Provided / Not Received,5244,10-Jun-24,XUR31083000166
11-Jun-24,NPCI33493002167,30962010002167,652850-XXX-XXX-2680,11-Jun-24,6970,1065,1065-Goods or Services Not Provided / Not Received,5073,11-Jun-24,XUR31083000167
12-Jun-24,NPCI33493002168,30962010002168,652850-XXX-XXX-4391,12-Jun-24,5796,1071,1071-Goods or Services Not Provided / Not Received,5534,12-Jun-24,XUR31083000168
13-Jun-24,NPCI33493002169,30962010002169,652850-XXX-XXX-9819,13-Jun-24,8032,1075,1075-Goods or Services Not Provided / Not Received,5092,13-Jun-24,XUR31083000169
14-Jun-24,NPCI33493002170,30962010002170,652850-XXX-XXX-6730,14-Jun-24,5571,1071,1071-Goods or Services Not Provided / Not Received,5405,14-Jun-24,XUR31083000170
15-Jun-24,NPCI33493002171,30962010002171,652850-XXX-XXX-6559,15-Jun-24,6427,1065,1065-Goods or Services Not Provided / Not Received,5016,15-Jun-24,XUR31083000171
16-Jun-24,NPCI33493002172,30962010002172,652850-XXX-XXX-0925,16-Jun-24,8368,1065,1065-Goods or Services Not Provided / Not Received,5733,16-Jun-24,XUR31083000172
17-Jun-24,NPCI33493002173,30962010002173,652850-XXX-XXX-2671,17-Jun-24,8415,1067,1067-Goods or Services Not Provided / Not Received,5242,17-Jun-24,XUR31083000173
18-Jun-24,NPCI33493002174,30962010002174,652850-XXX-XXX-1486,18-Jun-24,9979,1073,1073-Goods or Services Not Provided / Not Received,5310,18-Jun-24,XUR31083000174
19-Jun-24,NPCI33493002175,30962010002175,652850-XXX-XXX-5100,19-Jun-24,8590,1073,1073-Goods or Services Not Provided / Not Received,5537,19-Jun-24,XUR31083000175
20-Jun-24,NPCI33493002176,30962010002176,652850-XXX-XXX-6829,20-Jun-24,7202,1065,1065-Goods or Services Not Provided / Not Received,5621,20-Jun-24,XUR31083000176
21-Jun-24,NPCI33493002177,30962010002177,652850-XXX-XXX-4261,21-Jun-24,5237,1073,1073-Goods or Services Not Provided / Not Received,5696,21-Jun-24,XUR31083000177
22-Jun-24,NPCI33493002178,30962010002178,652850-XXX-XXX-9612,22-Jun-24,7360,1070,1070-Goods or Services Not Provided / Not Received,5726,22-Jun-24,XUR31083000178
23-Jun-24,NPCI33493002179,30962010002179,652850-XXX-XXX-4798,23-Jun-24,6009,1074,1074-Goods or Services Not Provided / Not Received,5526,23-Jun-24,XUR31083000179
24-Jun-24,NPCI33493002180,30962010002180,652850-XXX-XXX-9440,24-Jun-24,5440,1071,1071-Goods or Services Not Provided / Not Received,5721,24-Jun-24,XUR31083000180
25-Jun-24,NPCI33493002181,30962010002181,652850-XXX-XXX-4637,25-Jun-24,8701,1073,1073-Goods or Services Not Provided / Not Received,5411,25-Jun-24,XUR31083000181
26-Jun-24,NPCI33493002182,30962010002182,652850-XXX-XXX-9166,26-Jun-24,7478,1065,1065-Goods or Services Not Provided / Not Received,5126,26-Jun-24,XUR31083000182
27-Jun-24,NPCI33493002183,30962010002183,652850-XXX-XXX-4951,27-Jun-24,8493,1067,1067-Goods or Services Not Provided / Not Received,5569,27-Jun-24,XUR31083000183
28-Jun-24,NPCI33493002184,30962010002184,652850-XXX-XXX-5710,28-Jun-24,8077,1065,1065-Goods or Services Not Provided / Not Received,5283,28-Jun-24,XUR31083000184
29-Jun-24,NPCI33493002185,30962010002185,652850-XXX-XXX-9127,29-Jun-24,8679,1072,1072-Goods or Services Not Provided / Not Received,5173,29-Jun-24,XUR31083000185
30-Jun-24,NPCI33493002186,30962010002186,652850-XXX-XXX-5595,30-Jun-24,9978,1072,1072-Goods or Services Not Provided / Not Received,5362,30-Jun-24,XUR31083000186
01-Jul-24,NPCI33493002187,30962010002187,652850-XXX-XXX-3639,01-Jul-24,6654,1070,1070-Goods or Services Not Provided / Not Received,5270,01-Jul-24,XUR31083000187
02-Jul-24,NPCI33493002188,30962010002188,652850-XXX-XXX-1489,02-Jul-24,5546,1066,1066-Goods or Services Not Provided / Not Received,5589,02-Jul-24,XUR31083000188
03-Jul-24,NPCI33493002189,30962010002189,652850-XXX-XXX-0757,03-Jul-24,6800,1071,1071-Goods or Services Not Provided / Not Received,5126,03-Jul-24,XUR31083000189
04-Jul-24,NPCI33493002190,30962010002190,652850-XXX-XXX-6845,04-Jul-24,7550,1065,1065-Goods or Services Not Provided / Not Received,5604,04-Jul-24,XUR31083000190
05-Jul-24,NPCI33493002191,30962010002191,652850-XXX-XXX-8127,05-Jul-24,9426,1074,1074-Goods or Services Not Provided / Not Received,5030,05-Jul-24,XUR31083000191
06-Jul-24,NPCI33493002192,30962010002192,652850-XXX-XXX-7776,06-Jul-24,6905,1070,1070-Goods or Services Not Provided / Not Received,5135,06-Jul-24,XUR31083000192
07-Jul-24,NPCI33493002193,30962010002193,652850-XXX-XXX-7574,07-Jul-24,6656,1066,1066-Goods or Services Not Provided / Not Received,5404,07-Jul-24,XUR31083000193
08-Jul-24,NPCI33493002194,30962010002194,652850-XXX-XXX-4540,08-Jul-24,9072,1069,1069-Goods or Services Not Provided / Not Received,5243,08-Jul-24,XUR31083000194
09-Jul-24,NPCI33493002195,30962010002195,652850-XXX-XXX-7774,09-Jul-24,9522,1072,1072-Goods or Services Not Provided / Not Received,5576,09-Jul-24,XUR31083000195
10-Jul-24,NPCI33493002196,30962010002196,652850-XXX-XXX-5236,10-Jul-24,9417,1071,1071-Goods or Services Not Provided / Not Received,5739,10-Jul-24,XUR31083000196
11-Jul-24,NPCI33493002197,30962010002197,652850-XXX-XXX-2908,11-Jul-24,8866,1073,1073-Goods or Services Not Provided / Not Received,5205,11-Jul-24,XUR31083000197
12-Jul-24,NPCI33493002198,30962010002198,652850-XXX-XXX-6608,12-Jul-24,8264,1075,1075-Goods or Services Not Provided / Not Received,5480,12-Jul-24,XUR31083000198
13-Jul-24,NPCI33493002199,30962010002199,652850-XXX-XXX-5942,13-Jul-24,8562,1074,1074-Goods or Services Not Provided / Not Received,5739,13-Jul-24,XUR31083000199
14-Jul-24,NPCI33493002200,30962010002200,652850-XXX-XXX-0998,14-Jul-24,7662,1065,1065-Goods or Services Not Provided / Not Received,5615,14-Jul-24,XUR31083000200
15-Jul-24,NPCI33493002201,30962010002201,652850-XXX-XXX-5894,15-Jul-24,9715,1070,1070-Goods or Services Not Provided / Not Received,5633,15-Jul-24,XUR31083000201
16-Jul-24,NPCI33493002202,30962010002202,652850-XXX-XXX-1266,16-Jul-24,5149,1068,1068-Goods or Services Not Provided / Not Received,5723,16-Jul-24,XUR31083000202
17-Jul-24,NPCI33493002203,30962010002203,652850-XXX-XXX-9607,17-Jul-24,7546,1070,1070-Goods or Services Not Provided / Not Received,5261,17-Jul-24,XUR31083000203
18-Jul-24,NPCI33493002204,30962010002204,652850-XXX-XXX-9214,18-Jul-24,9178,1076,1076-Goods or Services Not Provided / Not Received,5577,18-Jul-24,XUR31083000204
19-Jul-24,NPCI33493002205,30962010002205,652850-XXX-XXX-8470,19-Jul-24,9425,1071,1071-Goods or Services Not Provided / Not Received,5288,19-Jul-24,XUR31083000205
20-Jul-24,NPCI33493002206,30962010002206,652850-XXX-XXX-7914,20-Jul-24,6712,1072,1072-Goods or Services Not Provided / Not Received,5666,20-Jul-24,XUR31083000206
21-Jul-24,NPCI33493002207,30962010002207,652850-XXX-XXX-0785,21-Jul-24,7273,1071,1071-Goods or Services Not Provided / Not Received,5316,21-Jul-24,XUR31083000207
22-Jul-24,NPCI33493002208,30962010002208,652850-XXX-XXX-0165,22-Jul-24,9638,1074,1074-Goods or Services Not Provided / Not Received,5685,22-Jul-24,XUR31083000208
23-Jul-24,NPCI33493002209,30962010002209,652850-XXX-XXX-6363,23-Jul-24,6313,1071,1071-Goods or Services Not Provided / Not Received,5466,23-Jul-24,XUR31083000209
24-Jul-24,NPCI33493002210,30962010002210,652850-XXX-XXX-3857,24-Jul-24,8081,1065,1065-Goods or Services Not Provided / Not Received,5735,24-Jul-24,XUR31083000210
25-Jul-24,NPCI33493002211,30962010002211,652850-XXX-XXX-1942,25-Jul-24,7697,1071,1071-Goods or Services Not Provided / Not Received,5720,25-Jul-24,XUR31083000211
26-Jul-24,NPCI33493002212,30962010002212,652850-XXX-XXX-8498,26-Jul-24,6964,1073,1073-Goods or Services Not Provided / Not Received,5737,26-Jul-24,XUR31083000212
27-Jul-24,NPCI33493002213,30962010002213,652850-XXX-XXX-9014,27-Jul-24,8061,1074,1074-Goods or Services Not Provided / Not Received,5246,27-Jul-24,XUR31083000213
28-Jul-24,NPCI33493002214,30962010002214,652850-XXX-XXX-9631,28-Jul-24,7774,1075,1075-Goods or Services Not Provided / Not Received,5446,28-Jul-24,XUR31083000214
29-Jul-24,NPCI33493002215,30962010002215,652850-XXX-XXX-2244,29-Jul-24,5978,1072,1072-Goods or Services Not Provided / Not Received,5390,29-Jul-24,XUR31083000215
30-Jul-24,NPCI33493002216,30962010002216,652850-XXX-XXX-5455,30-Jul-24,8400,1072,1072-Goods or Services Not Provided / Not Received,5002,30-Jul-24,XUR31083000216
31-Jul-24,NPCI33493002217,30962010002217,652850-XXX-XXX-3577,31-Jul-24,5095,1075,1075-Goods or Services Not Provided / Not Received,5121,31-Jul-24,XUR31083000217
01-Aug-24,NPCI33493002218,30962010002218,652850-XXX-XXX-6637,01-Aug-24,5453,1069,1069-Goods or Services Not Provided / Not Received,5520,01-Aug-24,XUR31083000218
02-Aug-24,NPCI33493002219,30962010002219,652850-XXX-XXX-7726,02-Aug-24,8501,1075,1075-Goods or Services Not Provided / Not Received,5722,02-Aug-24,XUR31083000219
03-Aug-24,NPCI33493002220,30962010002220,652850-XXX-XXX-2900,03-Aug-24,6279,1069,1069-Goods or Services Not Provided / Not Received,5461,03-Aug-24,XUR31083000220
04-Aug-24,NPCI33493002221,30962010002221,652850-XXX-XXX-2322,04-Aug-24,8551,1068,1068-Goods or Services Not Provided / Not Received,5743,04-Aug-24,XUR31083000221
05-Aug-24,NPCI33493002222,30962010002222,652850-XXX-XXX-2243,05-Aug-24,5535,1065,1065-Goods or Services Not Provided / Not Received,5343,05-Aug-24,XUR31083000222
06-Aug-24,NPCI33493002223,30962010002223,652850-XXX-XXX-7683,06-Aug-24,8901,1067,1067-Goods or Services Not Provided / Not Received,5356,06-Aug-24,XUR31083000223
07-Aug-24,NPCI33493002224,30962010002224,652850-XXX-XXX-6650,07-Aug-24,9843,1075,1075-Goods or Services Not Provided / Not Received,5019,07-Aug-24,XUR31083000224
08-Aug-24,NPCI33493002225,30962010002225,652850-XXX-XXX-5843,08-Aug-24,8346,1069,1069-Goods or Services Not Provided / Not Received,5358,08-Aug-24,XUR31083000225
09-Aug-24,NPCI33493002226,30962010002226,652850-XXX-XXX-5307,09-Aug-24,8338,1072,1072-Goods or Services Not Provided / Not Received,5256,09-Aug-24,XUR31083000226
10-Aug-24,NPCI33493002227,30962010002227,652850-XXX-XXX-0436,10-Aug-24,9745,1074,1074-Goods or Services Not Provided / Not Received,5393,10-Aug-24,XUR31083000227
11-Aug-24,NPCI33493002228,30962010002228,652850-XXX-XXX-5353,11-Aug-24,9666,1065,1065-Goods or Services Not Provided / Not Received,4994,11-Aug-24,XUR31083000228
12-Aug-24,NPCI33493002229,30962010002229,652850-XXX-XXX-2380,12-Aug-24,8493,1066,1066-Goods or Services Not Provided / Not Received,5648,12-Aug-24,XUR31083000229
13-Aug-24,NPCI33493002230,30962010002230,652850-XXX-XXX-8411,13-Aug-24,6950,1069,1069-Goods or Services Not Provided / Not Received,5507,13-Aug-24,XUR31083000230
14-Aug-24,NPCI33493002231,30962010002231,652850-XXX-XXX-8834,14-Aug-24,6609,1067,1067-Goods or Services Not Provided / Not Received,5747,14-Aug-24,XUR31083000231
15-Aug-24,NPCI33493002232,30962010002232,652850-XXX-XXX-1145,15-Aug-24,5795,1072,1072-Goods or Services Not Provided / Not Received,5366,15-Aug-24,XUR31083000232
16-Aug-24,NPCI33493002233,30962010002233,652850-XXX-XXX-4654,16-Aug-24,7800,1073,1073-Goods or Services Not Provided / Not Received,5084,16-Aug-24,XUR31083000233
17-Aug-24,NPCI33493002234,30962010002234,652850-XXX-XXX-6622,17-Aug-24,7843,1073,1073-Goods or Services Not Provided / Not Received,5768,17-Aug-24,XUR31083000234
18-Aug-24,NPCI33493002235,30962010002235,652850-XXX-XXX-0572,18-Aug-24,9809,1068,1068-Goods or Services Not Provided / Not Received,5356,18-Aug-24,XUR31083000235
19-Aug-24,NPCI33493002236,30962010002236,652850-XXX-XXX-5956,19-Aug-24,5640,1069,1069-Goods or Services Not Provided / Not Received,5668,19-Aug-24,XUR31083000236
20-Aug-24,NPCI33493002237,30962010002237,652850-XXX-XXX-4601,20-Aug-24,7241,1068,1068-Goods or Services Not Provided / Not Received,5368,20-Aug-24,XUR31083000237
21-Aug-24,NPCI33493002238,30962010002238,652850-XXX-XXX-1130,21-Aug-24,6300,1073,1073-Goods or Services Not Provided / Not Received,4988,21-Aug-24,XUR31083000238
22-Aug-24,NPCI33493002239,30962010002239,652850-XXX-XXX-0004,22-Aug-24,9575,1068,1068-Goods or Services Not Provided / Not Received,4974,22-Aug-24,XUR31083000239
23-Aug-24,NPCI33493002240,30962010002240,652850-XXX-XXX-2193,23-Aug-24,5425,1067,1067-Goods or Services Not Provided / Not Received,5400,23-Aug-24,XUR31083000240
24-Aug-24,NPCI33493002241,30962010002241,652850-XXX-XXX-2862,24-Aug-24,9693,1070,1070-Goods or Services Not Provided / Not Received,4999,24-Aug-24,XUR31083000241
25-Aug-24,NPCI33493002242,30962010002242,652850-XXX-XXX-2122,25-Aug-24,7562,1072,1072-Goods or Services Not Provided / Not Received,5164,25-Aug-24,XUR31083000242
26-Aug-24,NPCI33493002243,30962010002243,652850-XXX-XXX-0090,26-Aug-24,8238,1065,1065-Goods or Services Not Provided / Not Received,5177,26-Aug-24,XUR31083000243
27-Aug-24,NPCI33493002244,30962010002244,652850-XXX-XXX-3513,27-Aug-24,9313,1068,1068-Goods or Services Not Provided / Not Received,5635,27-Aug-24,XUR31083000244
28-Aug-24,NPCI33493002245,30962010002245,652850-XXX-XXX-0653,28-Aug-24,6116,1067,1067-Goods or Services Not Provided / Not Received,5231,28-Aug-24,XUR31083000245
29-Aug-24,NPCI33493002246,30962010002246,652850-XXX-XXX-2821,29-Aug-24,6464,1069,1069-Goods or Services Not Provided / Not Received,4992,29-Aug-24,XUR31083000246
30-Aug-24,NPCI33493002247,30962010002247,652850-XXX-XXX-2302,30-Aug-24,5701,1066,1066-Goods or Services Not Provided / Not Received,5534,30-Aug-24,XUR31083000247
31-Aug-24,NPCI33493002248,30962010002248,652850-XXX-XXX-4597,31-Aug-24,9308,1075,1075-Goods or Services Not Provided / Not Received,5269,31-Aug-24,XUR31083000248
01-Sep-24,NPCI33493002249,30962010002249,652850-XXX-XXX-5398,01-Sep-24,8359,1074,1074-Goods or Services Not Provided / Not Received,5144,01-Sep-24,XUR31083000249
02-Sep-24,NPCI33493002250,30962010002250,652850-XXX-XXX-0051,02-Sep-24,7143,1071,1071-Goods or Services Not Provided / Not Received,5095,02-Sep-24,XUR31083000250
03-Sep-24,NPCI33493002251,30962010002251,652850-XXX-XXX-7409,03-Sep-24,9757,1073,1073-Goods or Services Not Provided / Not Received,4980,03-Sep-24,XUR31083000251
04-Sep-24,NPCI33493002252,30962010002252,652850-XXX-XXX-0844,04-Sep-24,9140,1066,1066-Goods or Services Not Provided / Not Received,5147,04-Sep-24,XUR31083000252
05-Sep-24,NPCI33493002253,30962010002253,652850-XXX-XXX-9579,05-Sep-24,9710,1073,1073-Goods or Services Not Provided / Not Received,5730,05-Sep-24,XUR31083000253
06-Sep-24,NPCI33493002254,30962010002254,652850-XXX-XXX-6606,06-Sep-24,8703,1066,1066-Goods or Services Not Provided / Not Received,5377,06-Sep-24,XUR31083000254
07-Sep-24,NPCI33493002255,30962010002255,652850-XXX-XXX-2308,07-Sep-24,8860,1065,1065-Goods or Services Not Provided / Not Received,5042,07-Sep-24,XUR31083000255
08-Sep-24,NPCI33493002256,30962010002256,652850-XXX-XXX-7929,08-Sep-24,9710,1073,1073-Goods or Services Not Provided / Not Received,5073,08-Sep-24,XUR31083000256
09-Sep-24,NPCI33493002257,30962010002257,652850-XXX-XXX-8828,09-Sep-24,9050,1076,1076-Goods or Services Not Provided / Not Received,5662,09-Sep-24,XUR31083000257
10-Sep-24,NPCI33493002258,30962010002258,652850-XXX-XXX-9438,10-Sep-24,5652,1071,1071-Goods or Services Not Provided / Not Received,5315,10-Sep-24,XUR31083000258
11-Sep-24,NPCI33493002259,30962010002259,652850-XXX-XXX-4134,11-Sep-24,8599,1072,1072-Goods or Services Not Provided / Not Received,5141,11-Sep-24,XUR31083000259
12-Sep-24,NPCI33493002260,30962010002260,652850-XXX-XXX-5826,12-Sep-24,8542,1076,1076-Goods or Services Not Provided / Not Received,5560,12-Sep-24,XUR31083000260
13-Sep-24,NPCI33493002261,30962010002261,652850-XXX-XXX-4889,13-Sep-24,5230,1068,1068-Goods or Services Not Provided / Not Received,5669,13-Sep-24,XUR31083000261
14-Sep-24,NPCI33493002262,30962010002262,652850-XXX-XXX-5819,14-Sep-24,8061,1071,1071-Goods or Services Not Provided / Not Received,4984,14-Sep-24,XUR31083000262
15-Sep-24,NPCI33493002263,30962010002263,652850-XXX-XXX-1225,15-Sep-24,7166,1073,1073-Goods or Services Not Provided / Not Received,5090,15-Sep-24,XUR31083000263
16-Sep-24,NPCI33493002264,30962010002264,652850-XXX-XXX-5313,16-Sep-24,7777,1076,1076-Goods or Services Not Provided / Not Received,5263,16-Sep-24,XUR31083000264
17-Sep-24,NPCI33493002265,30962010002265,652850-XXX-XXX-6962,17-Sep-24,8134,1068,1068-Goods or Services Not Provided / Not Received,5049,17-Sep-24,XUR31083000265
18-Sep-24,NPCI33493002266,30962010002266,652850-XXX-XXX-2494,18-Sep-24,9881,1074,1074-Goods or Services Not Provided / Not Received,5747,18-Sep-24,XUR31083000266
19-Sep-24,NPCI33493002267,30962010002267,652850-XXX-XXX-6813,19-Sep-24,7255,1066,1066-Goods or Services Not Provided / Not Received,5613,19-Sep-24,XUR31083000267
20-Sep-24,NPCI33493002268,30962010002268,652850-XXX-XXX-6206,20-Sep-24,7471,1065,1065-Goods or Services Not Provided / Not Received,5134,20-Sep-24,XUR31083000268
21-Sep-24,NPCI33493002269,30962010002269,652850-XXX-XXX-1449,21-Sep-24,7865,1070,1070-Goods or Services Not Provided / Not Received,4998,21-Sep-24,XUR31083000269
22-Sep-24,NPCI33493002270,30962010002270,652850-XXX-XXX-7455,22-Sep-24,5426,1069,1069-Goods or Services Not Provided / Not Received,5585,22-Sep-24,XUR31083000270
23-Sep-24,NPCI33493002271,30962010002271,652850-XXX-XXX-4835,23-Sep-24,6500,1074,1074-Goods or Services Not Provided / Not Received,5507,23-Sep-24,XUR31083000271
24-Sep-24,NPCI33493002272,30962010002272,652850-XXX-XXX-4322,24-Sep-24,8471,1065,1065-Goods or Services Not Provided / Not Received,5341,24-Sep-24,XUR31083000272
25-Sep-24,NPCI33493002273,30962010002273,652850-XXX-XXX-0845,25-Sep-24,6751,1066,1066-Goods or Services Not Provided / Not Received,5254,25-Sep-24,XUR31083000273
26-Sep-24,NPCI33493002274,30962010002274,652850-XXX-XXX-8104,26-Sep-24,5902,1076,1076-Goods or Services Not Provided / Not Received,5122,26-Sep-24,XUR31083000274
27-Sep-24,NPCI33493002275,30962010002275,652850-XXX-XXX-9466,27-Sep-24,6381,1071,1071-Goods or Services Not Provided / Not Received,5032,27-Sep-24,XUR31083000275
28-Sep-24,NPCI33493002276,30962010002276,652850-XXX-XXX-2853,28-Sep-24,5032,1074,1074-Goods or Services Not Provided / Not Received,5572,28-Sep-24,XUR31083000276
29-Sep-24,NPCI33493002277,30962010002277,652850-XXX-XXX-1183,29-Sep-24,8916,1073,1073-Goods or Services Not Provided / Not Received,5228,29-Sep-24,XUR31083000277
30-Sep-24,NPCI33493002278,30962010002278,652850-XXX-XXX-3039,30-Sep-24,9787,1076,1076-Goods or Services Not Provided / Not Received,5464,30-Sep-24,XUR31083000278
01-Oct-24,NPCI33493002279,30962010002279,652850-XXX-XXX-4868,01-Oct-24,9535,1076,1076-Goods or Services Not Provided / Not Received,5252,01-Oct-24,XUR31083000279
02-Oct-24,NPCI33493002280,30962010002280,652850-XXX-XXX-6143,02-Oct-24,6204,1075,1075-Goods or Services Not Provided / Not Received,5690,02-Oct-24,XUR31083000280
03-Oct-24,NPCI33493002281,30962010002281,652850-XXX-XXX-6561,03-Oct-24,9969,1074,1074-Goods or Services Not Provided / Not Received,5329,03-Oct-24,XUR31083000281
04-Oct-24,NPCI33493002282,30962010002282,652850-XXX-XXX-9166,04-Oct-24,7115,1072,1072-Goods or Services Not Provided / Not Received,5030,04-Oct-24,XUR31083000282
05-Oct-24,NPCI33493002283,30962010002283,652850-XXX-XXX-0337,05-Oct-24,8355,1075,1075-Goods or Services Not Provided / Not Received,5397,05-Oct-24,XUR31083000283
06-Oct-24,NPCI33493002284,30962010002284,652850-XXX-XXX-6777,06-Oct-24,6287,1071,1071-Goods or Services Not Provided / Not Received,5412,06-Oct-24,XUR31083000284
07-Oct-24,NPCI33493002285,30962010002285,652850-XXX-XXX-2225,07-Oct-24,7168,1071,1071-Goods or Services Not Provided / Not Received,5620,07-Oct-24,XUR31083000285
08-Oct-24,NPCI33493002286,30962010002286,652850-XXX-XXX-7902,08-Oct-24,9416,1071,1071-Goods or Services Not Provided / Not Received,5557,08-Oct-24,XUR31083000286
09-Oct-24,NPCI33493002287,30962010002287,652850-XXX-XXX-7537,09-Oct-24,6521,1076,1076-Goods or Services Not Provided / Not Received,5401,09-Oct-24,XUR31083000287
10-Oct-24,NPCI33493002288,30962010002288,652850-XXX-XXX-7804,10-Oct-24,8669,1075,1075-Goods or Services Not Provided / Not Received,5457,10-Oct-24,XUR31083000288
11-Oct-24,NPCI33493002289,30962010002289,652850-XXX-XXX-1057,11-Oct-24,5085,1068,1068-Goods or Services Not Provided / Not Received,5032,11-Oct-24,XUR31083000289
12-Oct-24,NPCI33493002290,30962010002290,652850-XXX-XXX-2918,12-Oct-24,9767,1071,1071-Goods or Services Not Provided / Not Received,5025,12-Oct-24,XUR31083000290
13-Oct-24,NPCI33493002291,30962010002291,652850-XXX-XXX-1173,13-Oct-24,6158,1066,1066-Goods or Services Not Provided / Not Received,5352,13-Oct-24,XUR31083000291
14-Oct-24,NPCI33493002292,30962010002292,652850-XXX-XXX-4592,14-Oct-24,8505,1067,1067-Goods or Services Not Provided / Not Received,5680,14-Oct-24,XUR31083000292
15-Oct-24,NPCI33493002293,30962010002293,652850-XXX-XXX-4034,15-Oct-24,8452,1066,1066-Goods or Services Not Provided / Not Received,5384,15-Oct-24,XUR31083000293
16-Oct-24,NPCI33493002294,30962010002294,652850-XXX-XXX-8816,16-Oct-24,7168,1066,1066-Goods or Services Not Provided / Not Received,5516,16-Oct-24,XUR31083000294
17-Oct-24,NPCI33493002295,30962010002295,652850-XXX-XXX-5374,17-Oct-24,9306,1072,1072-Goods or Services Not Provided / Not Received,5331,17-Oct-24,XUR31083000295
18-Oct-24,NPCI33493002296,30962010002296,652850-XXX-XXX-9021,18-Oct-24,9825,1068,1068-Goods or Services Not Provided / Not Received,5311,18-Oct-24,XUR31083000296
19-Oct-24,NPCI33493002297,30962010002297,652850-XXX-XXX-6739,19-Oct-24,7050,1076,1076-Goods or Services Not Provided / Not Received,5682,19-Oct-24,XUR31083000297
20-Oct-24,NPCI33493002298,30962010002298,652850-XXX-XXX-7683,20-Oct-24,8437,1069,1069-Goods or Services Not Provided / Not Received,5648,20-Oct-24,XUR31083000298
21-Oct-24,NPCI33493002299,30962010002299,652850-XXX-XXX-7083,21-Oct-24,6746,1072,1072-Goods or Services Not Provided / Not Received,5626,21-Oct-24,XUR31083000299
22-Oct-24,NPCI33493002300,30962010002300,652850-XXX-XXX-8685,22-Oct-24,9387,1067,1067-Goods or Services Not Provided / Not Received,5229,22-Oct-24,XUR31083000300
23-Oct-24,NPCI33493002301,30962010002301,652850-XXX-XXX-2453,23-Oct-24,9192,1072,1072-Goods or Services Not Provided / Not Received,5047,23-Oct-24,XUR31083000301
24-Oct-24,NPCI33493002302,30962010002302,652850-XXX-XXX-0041,24-Oct-24,5804,1074,1074-Goods or Services Not Provided / Not Received,5392,24-Oct-24,XUR31083000302
25-Oct-24,NPCI33493002303,30962010002303,652850-XXX-XXX-1502,25-Oct-24,9048,1065,1065-Goods or Services Not Provided / Not Received,5105,25-Oct-24,XUR31083000303
26-Oct-24,NPCI33493002304,30962010002304,652850-XXX-XXX-3863,26-Oct-24,5656,1071,1071-Goods or Services Not Provided / Not Received,5041,26-Oct-24,XUR31083000304
27-Oct-24,NPCI33493002305,30962010002305,652850-XXX-XXX-0425,27-Oct-24,8352,1074,1074-Goods or Services Not Provided / Not Received,5576,27-Oct-24,XUR31083000305
28-Oct-24,NPCI33493002306,30962010002306,652850-XXX-XXX-6378,28-Oct-24,5530,1068,1068-Goods or Services Not Provided / Not Received,5659,28-Oct-24,XUR31083000306
29-Oct-24,NPCI33493002307,30962010002307,652850-XXX-XXX-2567,29-Oct-24,6265,1070,1070-Goods or Services Not Provided / Not Received,5562,29-Oct-24,XUR31083000307
30-Oct-24,NPCI33493002308,30962010002308,652850-XXX-XXX-1236,30-Oct-24,6609,1070,1070-Goods or Services Not Provided / Not Received,5036,30-Oct-24,XUR31083000308
